1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
65,-80,6,0.17374801635742188,4.25772762298584,63.0,-94.0,147.0,
65,-80,3,-0.39204180240631104,4.86649751663208,63.0,-94.0,169.0,
65,-79,3,-0.39204180240631104,4.86649751663208,63.0,-94.0,169.0,
62,-77,4,-0.7014445662498474,4.674548149108887,63.0,-94.0,189.0,
62,-77,4,-0.7014445662498474,4.674548149108887,63.0,-94.0,189.0,
59,-77,5,-2.2525603771209717,4.8451457023620605,63.0,-94.0,209.0,
59,-77,3,-2.2525603771209717,4.8451457023620605,63.0,-94.0,209.0,
55,-77,4,-3.9773035049438477,3.753366231918335,63.0,-94.0,227.0,
54,-77,5,-3.9773035049438477,3.753366231918335,63.0,-94.0,227.0,
51,-77,5,-5.939741611480713,2.921146869659424,63.0,-94.0,244.0,
50,-77,7,-5.939741611480713,2.921146869659424,63.0,-94.0,244.0,
46,-76,8,-7.399845600128174,1.8716458082199097,63.0,-94.0,258.0,
45,-76,10,-7.399845600128174,1.8716458082199097,63.0,-94.0,258.0,
47,-74,12,-8.985578536987305,1.3178565502166748,63.0,-94.0,270.0,
49,-73,16,-8.985578536987305,1.3178565502166748,63.0,-94.0,270.0,
47,-72,18,-6.311497211456299,1.8214761018753052,63.0,-94.0,280.0,
45,-74,20,-6.311497211456299,1.8214761018753052,63.0,-94.0,280.0,
45,-74,23,-6.96677303314209,0.5142576098442078,63.0,-94.0,287.0,
42,-75,25,-6.96677303314209,0.5142576098442078,63.0,-94.0,287.0,
42,-76,32,-6.896761417388916,-0.42640772461891174,63.0,-94.0,293.0,
41,-81,35,-6.896761417388916,-0.42640772461891174,63.0,-94.0,293.0,
41,-82,38,-6.164449214935303,-3.2114923000335693,63.0,-94.0,296.0,
39,-81,42,-6.164449214935303,-3.2114923000335693,63.0,-94.0,296.0,
39,-81,49,-5.2043023109436035,-2.933624744415283,63.0,-94.0,298.0,
37,-86,53,-5.2043023109436035,-2.933624744415283,63.0,-94.0,298.0,
36,-86,57,-4.88937520980835,-5.124162673950195,63.0,-94.0,299.0,
35,-93,60,-4.88937520980835,-5.124162673950195,63.0,-94.0,299.0,
33,-94,70,-4.652299880981445,-7.866513729095459,63.0,-94.0,299.0,
32,-100,74,-4.652299880981445,-7.866513729095459,63.0,-94.0,299.0,
33,-101,78,-4.817346572875977,-9.843877792358398,63.0,-94.0,299.0,
33,-102,83,-4.817346572875977,-9.843877792358398,63.0,-94.0,299.0,
35,-104,87,-3.061821222305298,-9.615558624267578,63.0,-94.0,299.0,
35,-105,94,-3.061821222305298,-9.615558624267578,63.0,-94.0,299.0,
36,-107,99,-1.285322904586792,-9.798821449279785,63.0,-94.0,299.0,
37,-107,104,-1.285322904586792,-9.798821449279785,63.0,-94.0,299.0,
38,-109,108,0.3487403690814972,-9.0914888381958,63.0,-94.0,299.0,
39,-109,114,0.3487403690814972,-9.0914888381958,63.0,-94.0,299.0,
40,-110,118,1.6378169059753418,-8.424675941467285,63.0,-94.0,299.0,
40,-111,122,1.6378169059753418,-8.424675941467285,63.0,-94.0,299.0,
42,-112,127,2.7699930667877197,-7.387415409088135,63.0,-94.0,299.0,
42,-113,131,2.7699930667877197,-7.387415409088135,63.0,-94.0,299.0,
44,-114,137,3.497551679611206,-6.555306911468506,63.0,-94.0,299.0,
46,-114,141,3.497551679611206,-6.555306911468506,63.0,-94.0,299.0,
46,-115,144,4.9745306968688965,-5.650768280029297,63.0,-94.0,299.0,
48,-115,148,4.9745306968688965,-5.650768280029297,63.0,-94.0,299.0,
49,-115,150,5.58585786819458,-4.5675201416015625,63.0,-94.0,299.0,
51,-115,153,5.58585786819458,-4.5675201416015625,63.0,-94.0,299.0,
51,-116,156,5.964017868041992,-3.4664204120635986,63.0,-94.0,299.0,
54,-115,159,5.964017868041992,-3.4664204120635986,63.0,-94.0,299.0,
54,-115,158,6.258855819702148,-2.3557279109954834,63.0,-94.0,299.0,
56,-115,160,6.258855819702148,-2.3557279109954834,63.0,-94.0,299.0,
57,-115,162,6.397162437438965,-1.2648206949234009,63.0,-94.0,299.0,
59,-114,164,6.397162437438965,-1.2648206949234009,63.0,-94.0,299.0,
60,-114,166,6.310392379760742,-0.0768396407365799,63.0,-94.0,299.0,
61,-113,167,6.310392379760742,-0.0768396407365799,63.0,-94.0,299.0,
62,-113,169,6.154518127441406,0.8407787084579468,63.0,-94.0,299.0,
64,-112,170,6.154518127441406,0.8407787084579468,63.0,-94.0,299.0,
65,-112,172,5.975329875946045,1.6175446510314941,63.0,-94.0,299.0,
