1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,controller.pitch,controller.roll,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,
3,4,6,0.31380361318588257,0.07100892812013626,2.0,4.0,7.0,
1,4,6,0.31380361318588257,0.07100892812013626,2.0,4.0,7.0,
2,4,6,-0.49662816524505615,0.19503335654735565,2.0,4.0,7.0,
2,5,6,-0.49662816524505615,0.19503335654735565,2.0,4.0,7.0,
2,4,6,-0.20325060188770294,0.582408607006073,2.0,4.0,8.0,
2,5,6,-0.20325060188770294,0.582408607006073,2.0,4.0,8.0,
2,5,6,-0.3561702072620392,0.6355051398277283,2.0,4.0,11.0,
2,4,7,-0.3561702072620392,0.6355051398277283,2.0,4.0,11.0,
2,5,6,-0.47099676728248596,0.5137487053871155,2.0,4.0,15.0,
3,5,6,-0.47099676728248596,0.5137487053871155,2.0,4.0,15.0,
1,4,6,-0.09407258778810501,0.8758642673492432,2.0,4.0,21.0,
2,4,6,-0.09407258778810501,0.8758642673492432,2.0,4.0,21.0,
2,4,7,-0.5543408393859863,0.6444826722145081,2.0,4.0,29.0,
1,4,7,-0.5543408393859863,0.6444826722145081,2.0,4.0,29.0,
1,4,7,-1.2742500305175781,0.548704206943512,2.0,4.0,40.0,
0,5,7,-1.2742500305175781,0.548704206943512,2.0,4.0,40.0,
0,6,7,-1.3836727142333984,1.2254358530044556,2.0,4.0,53.0,
0,5,7,-1.3836727142333984,1.2254358530044556,2.0,4.0,53.0,
0,6,7,-1.8439844846725464,0.9858828186988831,2.0,4.0,68.0,
-1,7,7,-1.8439844846725464,0.9858828186988831,2.0,4.0,68.0,
-2,7,7,-2.5654425621032715,1.7986133098602295,2.0,4.0,85.0,
-1,8,9,-2.5654425621032715,1.7986133098602295,2.0,4.0,85.0,
-2,8,9,-2.4434187412261963,2.383542060852051,2.0,4.0,104.0,
-3,10,9,-2.4434187412261963,2.383542060852051,2.0,4.0,104.0,
-4,10,9,-2.952197790145874,2.9878299236297607,2.0,4.0,124.0,
-5,11,6,-2.952197790145874,2.9878299236297607,2.0,4.0,124.0,
-5,12,6,-3.4593658447265625,3.651501178741455,2.0,4.0,145.0,
-6,13,6,-3.4593658447265625,3.651501178741455,2.0,4.0,145.0,
-7,14,6,-3.6418681144714355,3.989088773727417,2.0,4.0,166.0,
-8,15,6,-3.6418681144714355,3.989088773727417,2.0,4.0,166.0,
-9,16,3,-4.2971272468566895,4.213826656341553,2.0,4.0,187.0,
-10,16,4,-4.2971272468566895,4.213826656341553,2.0,4.0,187.0,
-11,17,4,-4.763509750366211,4.098348617553711,2.0,4.0,207.0,
-12,17,4,-4.763509750366211,4.098348617553711,2.0,4.0,207.0,
-13,17,2,-4.786740779876709,3.6037867069244385,2.0,4.0,225.0,
-14,18,3,-4.786740779876709,3.6037867069244385,2.0,4.0,225.0,
-14,15,4,-4.722238540649414,3.0733776092529297,2.0,4.0,242.0,
-14,15,5,-4.722238540649414,3.0733776092529297,2.0,4.0,242.0,
-10,12,3,-4.0240936279296875,0.7135469317436218,2.0,4.0,257.0,
-9,11,4,-4.0240936279296875,0.7135469317436218,2.0,4.0,257.0,
-9,9,5,-0.9816583395004272,-2.0028860569000244,2.0,4.0,269.0,
-7,6,5,-0.9816583395004272,-2.0028860569000244,2.0,4.0,269.0,
-6,6,7,0.6185119152069092,-4.8156256675720215,2.0,4.0,279.0,
-7,2,11,0.6185119152069092,-4.8156256675720215,2.0,4.0,279.0,
-7,0,13,1.2949868440628052,-6.87744665145874,2.0,4.0,287.0,
-6,0,15,1.2949868440628052,-6.87744665145874,2.0,4.0,287.0,
-5,1,17,1.9547680616378784,-7.2606658935546875,2.0,4.0,292.0,
-4,0,24,1.9547680616378784,-7.2606658935546875,2.0,4.0,292.0,
-4,-1,27,3.038560628890991,-7.162670612335205,2.0,4.0,296.0,
-1,-3,29,3.038560628890991,-7.162670612335205,2.0,4.0,296.0,
-1,-2,32,4.523494243621826,-7.246919631958008,2.0,4.0,298.0,
1,-2,36,4.523494243621826,-7.246919631958008,2.0,4.0,298.0,
