1
Deck is attached!
stateEstimateZ.z,ctrltargetZ.z,stabilizer.thrust,debug.error,
245,299.0,47661.40234375,0.0543912798166275,
244,299.0,47661.40234375,0.0543912798166275,
243,299.0,47561.74609375,0.05685536563396454,
241,299.0,47561.74609375,0.05685536563396454,
240,299.0,47477.99609375,0.0594542920589447,
239,299.0,47477.99609375,0.0594542920589447,
238,299.0,47324.734375,0.06119571626186371,
239,299.0,47324.734375,0.06119571626186371,
239,299.0,46766.8359375,0.06071487069129944,
238,299.0,46766.8359375,0.06071487069129944,
238,299.0,46259.59765625,0.06136578321456909,
238,299.0,46259.59765625,0.06136578321456909,
237,299.0,45900.13671875,0.0626879632472992,
237,299.0,45900.13671875,0.0626879632472992,
237,299.0,45466.53125,0.06261517107486725,
237,299.0,45466.53125,0.06261517107486725,
237,299.0,45072.01953125,0.06252828240394592,
237,299.0,45072.01953125,0.06252828240394592,
238,299.0,44562.4375,0.06174109876155853,
238,299.0,44562.4375,0.06174109876155853,
238,299.0,44008.71484375,0.060617849230766296,
238,299.0,44008.71484375,0.060617849230766296,
239,299.0,43643.58984375,0.06035904586315155,
240,299.0,43643.58984375,0.06035904586315155,
241,299.0,43167.7734375,0.05880953371524811,
243,299.0,43167.7734375,0.05880953371524811,
244,299.0,42452.33203125,0.05571506917476654,
245,299.0,42452.33203125,0.05571506917476654,
246,299.0,41842.6484375,0.05354754626750946,
246,299.0,41842.6484375,0.05354754626750946,
247,299.0,41528.8203125,0.05260522663593292,
248,299.0,41528.8203125,0.05260522663593292,
249,299.0,41215.12890625,0.05054512619972229,
250,299.0,41215.12890625,0.05054512619972229,
251,299.0,40918.1015625,0.04826575517654419,
252,299.0,40918.1015625,0.04826575517654419,
253,299.0,40651.05078125,0.04624605178833008,
254,299.0,40651.05078125,0.04624605178833008,
256,299.0,40337.41015625,0.043764978647232056,
257,299.0,40337.41015625,0.043764978647232056,
258,299.0,40175.6015625,0.041952669620513916,
258,299.0,40175.6015625,0.041952669620513916,
259,299.0,40118.8984375,0.04034575819969177,
260,299.0,40118.8984375,0.04034575819969177,
260,299.0,40226.51171875,0.03931495547294617,
261,299.0,40226.51171875,0.03931495547294617,
261,299.0,40382.32421875,0.03825491666793823,
263,299.0,40382.32421875,0.03825491666793823,
263,299.0,40395.0,0.03637009859085083,
263,299.0,40395.0,0.03637009859085083,
264,299.0,40549.16796875,0.03574436902999878,
263,299.0,40549.16796875,0.03574436902999878,
263,299.0,40904.1953125,0.03612816333770752,
263,299.0,40904.1953125,0.03612816333770752,
263,299.0,41309.16015625,0.03621038794517517,
263,299.0,41309.16015625,0.03621038794517517,
263,299.0,41824.0078125,0.03690114617347717,
262,299.0,41824.0078125,0.03690114617347717,
262,299.0,42295.9765625,0.03760978579521179,
261,299.0,42295.9765625,0.03760978579521179,
261,299.0,42736.70703125,0.038535892963409424,
260,299.0,42736.70703125,0.038535892963409424,
260,299.0,43155.36328125,0.03968966007232666,
259,299.0,43155.36328125,0.03968966007232666,
258,299.0,43562.60546875,0.04101940989494324,
257,299.0,43562.60546875,0.04101940989494324,
256,299.0,44141.046875,0.043510645627975464,
255,299.0,44141.046875,0.043510645627975464,
254,299.0,44607.59765625,0.0452231764793396,
254,299.0,44607.59765625,0.0452231764793396,
253,299.0,44922.65625,0.04640933871269226,
252,299.0,44922.65625,0.04640933871269226,
251,299.0,45199.9296875,0.048134028911590576,
252,299.0,45199.9296875,0.048134028911590576,
251,299.0,45144.7578125,0.04838100075721741,
250,299.0,45144.7578125,0.04838100075721741,
