1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,debug.error,
22,-44,11,22.0,-44.0,11.0,42956.18359375,-6.995908915996552e-05,
22,-44,11,22.0,-44.0,11.0,42956.18359375,-6.995908915996552e-05,
22,-44,12,22.0,-44.0,11.0,42902.63671875,-0.0001377146691083908,
22,-44,12,22.0,-44.0,11.0,42902.63671875,-0.0001377146691083908,
22,-44,12,22.0,-44.0,12.0,42905.13671875,0.00011743046343326569,
22,-44,12,22.0,-44.0,12.0,42905.13671875,0.00011743046343326569,
22,-44,12,22.0,-44.0,13.0,42918.55078125,0.0005893595516681671,
22,-44,12,22.0,-44.0,13.0,42918.55078125,0.0005893595516681671,
22,-44,12,22.0,-44.0,15.0,42954.359375,0.0024658041074872017,
22,-44,12,22.0,-44.0,15.0,42954.359375,0.0024658041074872017,
22,-44,12,22.0,-44.0,18.0,43032.62109375,0.005708132870495319,
22,-44,12,22.0,-44.0,18.0,43032.62109375,0.005708132870495319,
22,-44,13,22.0,-44.0,23.0,43197.0078125,0.010910339653491974,
22,-45,13,22.0,-44.0,23.0,43197.0078125,0.010910339653491974,
22,-44,12,22.0,-44.0,31.0,43497.61328125,0.019159287214279175,
22,-44,12,22.0,-44.0,31.0,43497.61328125,0.019159287214279175,
22,-44,12,22.0,-44.0,41.0,43880.0703125,0.028845790773630142,
22,-44,12,22.0,-44.0,41.0,43880.0703125,0.028845790773630142,
23,-44,9,22.0,-44.0,53.0,44311.5390625,0.04086470603942871,
23,-43,9,22.0,-44.0,53.0,44311.5390625,0.04086470603942871,
23,-43,9,22.0,-44.0,67.0,44917.98828125,0.057681888341903687,
23,-43,9,22.0,-44.0,67.0,44917.98828125,0.057681888341903687,
25,-42,8,22.0,-44.0,83.0,45632.359375,0.07434189319610596,
25,-42,8,22.0,-44.0,83.0,45632.359375,0.07434189319610596,
25,-41,8,22.0,-44.0,101.0,46395.80859375,0.09345671534538269,
25,-40,8,22.0,-44.0,101.0,46395.80859375,0.09345671534538269,
26,-39,8,22.0,-44.0,121.0,46935.9453125,0.11308008432388306,
26,-37,6,22.0,-44.0,121.0,46935.9453125,0.11308008432388306,
26,-35,6,22.0,-44.0,141.0,47334.09765625,0.13529911637306213,
26,-34,6,22.0,-44.0,141.0,47334.09765625,0.13529911637306213,
26,-32,6,22.0,-44.0,162.0,47607.01953125,0.15571904182434082,
26,-31,3,22.0,-44.0,162.0,47607.01953125,0.15571904182434082,
26,-29,4,22.0,-44.0,182.0,48024.52734375,0.17873619496822357,
26,-28,4,22.0,-44.0,182.0,48024.52734375,0.17873619496822357,
25,-26,4,22.0,-44.0,202.0,48299.05859375,0.19761070609092712,
24,-23,5,22.0,-44.0,202.0,48299.05859375,0.19761070609092712,
22,-22,3,22.0,-44.0,221.0,48467.828125,0.21802979707717896,
19,-20,3,22.0,-44.0,221.0,48467.828125,0.21802979707717896,
